시나리오명,ATTACK_ID,ATTACK_NAME,CAPEC_ID,CAPEC_NAME,SIMILARITY,비고(설명),대응방안
서버오류 (상태코드 5XX),T1562.007 Disable or Modify System Firewall,,,,0.4248,서버 오류를 유도해 방화벽 우회 등 시스템 방어 기능을 회피하는 공격과 관련될 수 있습니다.,로그 분석: 서버 오류 로그를 면밀히 분석하여 오류 유발 원인을 파악하고 방어 정책을 개선합니다.
서버오류 (상태코드 4XX),T1071.001 Web Protocols,,,,0.4166,비정상적인 요청으로 인한 클라이언트 오류(4xx)를 탐지하는 기술입니다.,입력값 유효성 검사: 클라이언트 요청에 대한 유효성 검사를 강화하여 비정상적인 요청을 차단합니다.
악성 평판인 출발지IP에서 접근 탐지,T1583.001 Server,,,,0.4809,악성 서버에서 웹 서버로 접근을 시도할 때 사용되는 기술입니다.,위협 인텔리전스(TI) 연동: 알려진 악성 IP 목록을 방화벽에 적용하여 접근을 차단합니다.
알려지지 않은 웹스캐너 접근 탐지,T1595.001 Active Scanning: Scanning IP Blocks/Ports,,,,0.412,외부 스캐너가 웹 서버를 스캔할 때 사용되는 기술입니다.,스캔 차단 정책: 비정상적인 접속 시도나 스캐닝 패턴이 탐지되면 해당 IP를 차단합니다.
알려진 웹스캐너 접근 탐지,T1595.001 Active Scanning: Scanning IP Blocks/Ports,,,,0.4076,알려진 웹 스캐너의 접근을 탐지하는 기술입니다.,"웹방화벽(WAF) 사용: 웹쉘 업로드를 막고, 웹쉘을 통한 명령 실행을 차단합니다."
"웹서버공격시도, 웹쉘명령 이벤트 탐지",T1505.003 Server Software Component: Web Shell,,,,0.5293,,웹쉘을 이용해 원격으로 명령을 실행하는 공격을 탐지하는 기술입니다.
내부에서 외부로 RAT 전송패턴 탐지,TA0010 Exfiltration,,,,0.3225,공격자가 내부 네트워크에서 외부로 데이터를 빼내는 과정입니다.,"네트워크 세그멘테이션: 내부 네트워크를 분리하여 공격자의 이동을 제한합니다. <br> 방화벽 정책 강화: 불필요한 포트와 프로토콜에 대한 통신을 차단하고, 데이터 유출 방지(DLP) 시스템을 도입합니다."
내부에서 외부로 smb/rdp 전송패턴 탐지,T1021 Remote Services,,,,0.3501,공격자가 원격 서비스를 악용하여 네트워크 내에서 이동하거나 데이터를 유출할 때 사용합니다.,"네트워크 세그멘테이션: 내부 네트워크를 분리하여 공격자의 이동을 제한합니다. <br> 방화벽 정책 강화: 불필요한 포트와 프로토콜에 대한 통신을 차단하고, 데이터 유출 방지(DLP) 시스템을 도입합니다."
내부에서 외부로 smtp 메일 전송패턴 탐지,T1048 Exfiltration Over Alternative Protocol,,,,0.3641,이메일(SMTP)과 같은 다른 프로토콜을 통해 데이터를 유출하는 기술입니다.,"네트워크 세그멘테이션: 내부 네트워크를 분리하여 공격자의 이동을 제한합니다. <br> 방화벽 정책 강화: 불필요한 포트와 프로토콜에 대한 통신을 차단하고, 데이터 유출 방지(DLP) 시스템을 도입합니다."
내부에서 외부로 대량의 유튜브 전송패턴 탐지,T1041 Exfiltration Over C2 Channel,,,,0.2831,C2 채널을 통해 대량의 데이터를 유출하는 경우와 관련될 수 있습니다.,"방화벽/IDS/IPS 정책 강화: 비업무용 트래픽에 대한 제어 정책을 적용하고, 알려진 악성 C&C 서버와의 통신을 차단합니다."
내부에서 외부로 대량의 카카오톡 전송패턴 탐지,T1041 Exfiltration Over C2 Channel,,,,0.3397,C2 채널을 통해 대량의 데이터를 유출하는 경우와 관련될 수 있습니다.,"방화벽/IDS/IPS 정책 강화: 비업무용 트래픽에 대한 제어 정책을 적용하고, 알려진 악성 C&C 서버와의 통신을 차단합니다."
"기타, CVE 취약점 정보 탐지",TA0043 Reconnaissance,,,,0.5529,공격자가 CVE 정보를 활용해 시스템의 취약점을 파악하는 정찰 활동과 관련됩니다.,"취약점 관리: 최신 CVE 정보를 실시간으로 파악하고, 영향을 받는 시스템을 식별하여 패치를 적용합니다."
"복합, 웹방화벽에서 차단된 IP, 다른 호스트로 탐지",T1567.001 Exfiltration Over C2 Channel: Exfiltration to Cloud Storage,,,,0.4827,차단된 IP를 우회하기 위해 다른 클라우드 호스트를 이용하는 경우와 관련됩니다.,위협 인텔리전스(TI) 연동: 차단된 IP를 우회하는 클라우드 호스트에 대한 정보를 수집하고 차단합니다.
"복합, CTAS 위협IP에서 웹로그로 위협이벤트 탐지",TA0001 Initial Access,,,,0.4671,CTAS(Cyber Threat Analysis System)에서 탐지된 위협 IP를 통해 시스템에 최초로 접근하는 공격과 관련됩니다.,위협 인텔리전스(TI) 연동: CTAS에서 탐지된 위협 IP를 방화벽에 자동 적용하여 선제적으로 차단합니다.
"복합, 방화벽에서 상위 TOP10 IP 중, 웹방화벽에서 웹스캐닝으로 탐지",T1595.001 Active Scanning: Scanning IP Blocks/Ports,,,,0.3604,외부에서 특정 IP 대역이나 포트를 스캐닝하는 공격 활동을 탐지하는 기술입니다.,IP 차단 정책: 스캐닝이 탐지된 IP에 대해 즉시 접근을 차단하는 규칙을 방화벽에 추가합니다.
"복합, CTAS 요주의 IP에서 방화벽 등으로 유입되는 이벤트 탐지",TA0001 Initial Access,,,,0.4066,CTAS에서 주의 대상으로 분류된 IP를 통해 시스템에 최초로 접근하는 공격을 탐지합니다.,위협 인텔리전스(TI) 연동: CTAS에서 주의 대상으로 분류된 IP를 통해 시스템에 접근하는 공격을 탐지하고 차단합니다.
"복합, 방화벽에서 상위 TOP 10 IP중에서 CTAS 배포사이트 IP로 접근 탐지",T1204.002 User Execution: Malicious File,,,,0.3905,사용자가 악성 파일을 다운로드하거나 실행하도록 유도하는 공격과 관련됩니다.,접근 통제 강화: 악성 파일 다운로드를 유발하는 사이트에 대한 접근을 차단합니다.
아파치 스트럿 패턴 공격 이벤트 탐지,T1190 Exploit Public-Facing Application,,,,0.3938,Apache Struts와 같은 외부에 노출된 애플리케이션의 취약점을 악용하는 기술입니다.,즉각적인 패치: 최신 보안 패치를 적용하여 알려진 취약점을 제거합니다.
cli명령 패턴 이벤트 탐지,T1059 Command and Scripting Interpreter,,,,0.4082,공격자가 셸 명령어를 실행하여 시스템을 제어하려는 시도를 탐지하는 기술입니다.,웹방화벽(WAF) 정책: 웹 애플리케이션을 통해 셸 명령어가 실행되는 것을 차단하는 정책을 설정합니다.
injection 패턴 공격 이벤트 탐지,T1190 Exploit Public-Facing Application,,,,0.4213,SQL Injection과 같은 인젝션 공격은 외부에 노출된 애플리케이션의 취약점을 이용합니다.,즉각적인 패치: 최신 보안 패치를 적용하여 알려진 취약점을 제거합니다.
log4shell 패턴 공격 이벤트 탐지,T1190 Exploit Public-Facing Application,,,,0.4665,Log4Shell 취약점은 외부에 노출된 애플리케이션에 대한 공격이므로 해당 TID에 매핑됩니다.,입력값 검증: 모든 사용자 입력값을 강력하게 검증하고 필터링하여 악성 코드가 실행되지 않도록 합니다.
RFI/LFI 패턴 공격 이벤트 탐지,T1190 Exploit Public-Facing Application,,,,0.3752,원격/로컬 파일 포함 취약점 공격은 외부에 노출된 애플리케이션을 대상으로 합니다.,입력값 검증: 모든 사용자 입력값을 강력하게 검증하고 필터링하여 악성 코드가 실행되지 않도록 합니다.
XSS 패턴 공격 이벤트 탐지,T1190 Exploit Public-Facing Application,,,,0.3722,XSS(Cross-Site Scripting) 공격은 웹 애플리케이션의 취약점을 이용하는 대표적인 기술입니다.,입력값 검증: 모든 사용자 입력값을 강력하게 검증하고 필터링하여 악성 코드가 실행되지 않도록 합니다.
경로우회 공격 패턴 이벤트 탐지,T1560.001 Archive via Compression,,,,0.443,공격자가 경로를 우회하여 파일을 압축하고 외부로 유출하는 과정과 관련됩니다.,웹방화벽(WAF) 규칙: 경로 우회 공격 패턴을 탐지하고 차단하는 규칙을 적용합니다.
비정상 user-agent 패턴 공격 이벤트 탐지,T1071.001 Application Layer Protocol: Web Protocols,,,,0.4853,비정상적인 User-Agent 문자열을 이용한 웹 통신 공격을 탐지하는 기술입니다.,네트워크 보안 강화: 비정상적이거나 알려진 악성 User-Agent를 차단합니다.
비정상 헤더 패턴 공격 이벤트 탐지,T1071.001 Application Layer Protocol: Web Protocols,,,,0.4548,비정상적인 HTTP 헤더를 이용한 공격을 탐지하는 기술입니다.,네트워크 보안 강화: 비정상적이거나 알려진 악성 User-Agent를 차단합니다.
"비정상 통신(smtp, rtsp 등) 패턴 공격 이벤트 탐지",T1048 Exfiltration Over Alternative Protocol,,,,0.4477,일반적인 웹 통신이 아닌 다른 프로토콜을 이용한 데이터 유출 시도와 관련됩니다.,프로토콜 제어: 웹 서버에서 사용하지 않는 불필요한 프로토콜에 대한 통신을 차단합니다.
스캐닝 패턴 공격 이벤트 탐지,T1595.001 Active Scanning: Scanning IP Blocks/Ports,,,,0.4066,외부에서 IP나 포트를 스캐닝하는 공격 활동을 탐지하는 기술입니다.,스캐닝 차단: 특정 IP에서의 과도한 요청이나 스캐닝 패턴이 탐지되면 접근을 제한하거나 차단합니다.
웹쉘 업로드 패턴 공격 이벤트 탐지,T1505.003 Server Software Component: Web Shell,,,,0.5207,"웹쉘 업로드는 서버에 악성 코드를 설치하는 기술로, 원격 명령 실행을 가능하게 합니다.","파일 업로드 제어: 파일 확장자를 제한하고, 업로드된 파일에 대한 악성코드 스캔을 수행합니다."
유효하지 않은 공격 패턴 이벤트 탐지,T1071 Application Layer Protocol,,,,0.4201,유효하지 않은 요청이나 프로토콜을 이용한 공격 시도를 탐지하는 기술입니다.,웹방화벽(WAF) 정책: 웹 애플리케이션 프로토콜에 맞지 않는 비정상적인 요청을 차단합니다.
익스플로잇 패턴 공격 이벤트 탐지,T1190 Exploit Public-Facing Application,,,,0.4188,웹 서버나 애플리케이션의 취약점을 악용하는 일반적인 기술입니다.,최신 WAF 규칙 적용: 익스플로잇에 대한 최신 WAF 규칙을 적용하여 공격을 방어합니다.
"자동화(java, python 등) 봇 에이전트 패턴 공격 이벤트 탐지",T1071 Application Layer Protocol,,,,0.4414,봇을 이용한 자동화된 공격 시도를 탐지하는 기술입니다.,봇 차단 시스템: 웹사이트의 봇 접근을 감지하고 차단하는 솔루션을 도입합니다.
파라미터변조 패턴 공격 이벤트 탐지,T1190 Exploit Public-Facing Application,,,,0.3695,웹 애플리케이션의 URL 파라미터를 변조하는 공격은 외부에 노출된 애플리케이션의 취약점을 이용합니다.,입력값 유효성 검사: 모든 파라미터에 대해 예상되는 값 범위와 형식을 벗어나는 요청을 차단합니다.
 자동화(java python 등) 봇 에이전트 패턴 공격 이벤트 탐지,T1071 Application Layer Protocol,,,,0.4217,봇을 이용한 자동화된 공격 시도를 탐지하는 기술입니다.	,봇 차단 시스템: 웹사이트의 봇 접근을 감지하고 차단하는 솔루션을 도입합니다.
파라미터변조 패턴 공격 이벤트 탐지	,T1190 Exploit Public-Facing Application,,,,0.3695,웹 애플리케이션의 URL 파라미터를 변조하는 공격은 외부에 노출된 애플리케이션의 취약점을 이용합니다.	,입력값 유효성 검사: 모든 파라미터에 대해 예상되는 값 범위와 형식을 벗어나는 요청을 차단합니다.
